review
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat."
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki."
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu."
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate."
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!"
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan."
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi."
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah."
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih."
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat."
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!"
"Lumayan sih, kadang ada bug tapi sering update juga."
